INFO   | jvm 1    | 2013/12/28 14:01:32 | 102972031 2013-12-28 14:01:32,183 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:32 | 102972031 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:37 | 102977032 2013-12-28 14:01:37,184 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:37 | 102977032 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:42 | 102982032 2013-12-28 14:01:42,184 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:42 | 102982032 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:44 | 102984783 2013-12-28 14:01:44,935 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:44 | 102984783 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:46 | 102986195 2013-12-28 14:01:46,347 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:01:46 | 102986195 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:01:47 | 102987032 2013-12-28 14:01:47,184 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:47 | 102987032 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:52 | 102992033 2013-12-28 14:01:52,185 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:01:52 | 102992033 [QueueManager [modem1]] DEBUG smslib  - Running...
